teacher_condition,block_condition,block_index,game_type,condition_index,condition_count_index,total_reward,method
novice,watch play play,1,play,0,0,10,Thompson-Predict
novice,watch play play,2,play,0,0,13,Thompson-Predict
novice,watch play play,1,play,0,0,14,Thompson-Naive
novice,watch play play,2,play,0,0,13,Thompson-Naive
novice,watch play play,1,play,0,0,8,Thompson-Lesion
novice,watch play play,2,play,0,0,7,Thompson-Lesion
novice,play watch play,0,play,1,1,12.0,Thompson-Predict
novice,play watch play,2,play,1,1,19.0,Thompson-Predict
novice,play watch play,0,play,1,1,11.0,Thompson-Naive
novice,play watch play,2,play,1,1,14.0,Thompson-Naive
novice,play watch play,0,play,1,1,10.0,Thompson-Lesion
novice,play watch play,2,play,1,1,11.0,Thompson-Lesion
novice,play watch play,0,play,1,1,11.0,Thompson-Predict
novice,play watch play,2,play,1,1,16.0,Thompson-Predict
novice,play watch play,0,play,1,1,13.0,Thompson-Naive
novice,play watch play,2,play,1,1,14.0,Thompson-Naive
novice,play watch play,0,play,1,1,10.0,Thompson-Lesion
novice,play watch play,2,play,1,1,12.0,Thompson-Lesion
novice,watch play play,1,play,0,0,19,Thompson-Predict
novice,watch play play,2,play,0,0,23,Thompson-Predict
novice,watch play play,1,play,0,0,15,Thompson-Naive
novice,watch play play,2,play,0,0,21,Thompson-Naive
novice,watch play play,1,play,0,0,17,Thompson-Lesion
novice,watch play play,2,play,0,0,21,Thompson-Lesion
novice,watch play play,1,play,1,1,12,Thompson-Predict
novice,watch play play,2,play,1,1,11,Thompson-Predict
novice,watch play play,1,play,1,1,15,Thompson-Naive
novice,watch play play,2,play,1,1,16,Thompson-Naive
novice,watch play play,1,play,1,1,16,Thompson-Lesion
novice,watch play play,2,play,1,1,11,Thompson-Lesion
novice,watch play play,1,play,1,1,13,Thompson-Predict
novice,watch play play,2,play,1,1,17,Thompson-Predict
novice,watch play play,1,play,1,1,13,Thompson-Naive
novice,watch play play,2,play,1,1,9,Thompson-Naive
novice,watch play play,1,play,1,1,14,Thompson-Lesion
novice,watch play play,2,play,1,1,18,Thompson-Lesion
novice,watch play play,1,play,1,1,11,Thompson-Predict
novice,watch play play,2,play,1,1,17,Thompson-Predict
novice,watch play play,1,play,1,1,19,Thompson-Naive
novice,watch play play,2,play,1,1,21,Thompson-Naive
novice,watch play play,1,play,1,1,16,Thompson-Lesion
novice,watch play play,2,play,1,1,13,Thompson-Lesion
novice,play watch play,0,play,1,1,11.0,Thompson-Predict
novice,play watch play,2,play,1,1,16.0,Thompson-Predict
novice,play watch play,0,play,1,1,9.0,Thompson-Naive
novice,play watch play,2,play,1,1,15.0,Thompson-Naive
novice,play watch play,0,play,1,1,10.0,Thompson-Lesion
novice,play watch play,2,play,1,1,13.0,Thompson-Lesion
novice,play watch play,0,play,0,0,12.0,Thompson-Predict
novice,play watch play,2,play,0,0,10.0,Thompson-Predict
novice,play watch play,0,play,0,0,13.0,Thompson-Naive
novice,play watch play,2,play,0,0,14.0,Thompson-Naive
novice,play watch play,0,play,0,0,13.0,Thompson-Lesion
novice,play watch play,2,play,0,0,16.0,Thompson-Lesion
expert,watch play play,1,play,0,0,21,Thompson-Predict
expert,watch play play,2,play,0,0,15,Thompson-Predict
